,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
57,Dakar,05 December 2024,01:00,22.2 km/h,69%,25°,17.0,8.1,,,,, 66 
58,Incheon,05 December 2024,10:00,3.7 km/h,65%,3°,17.0,37.0,15.4,66.7,11.5,767.2, 66 
59,Busan,05 December 2024,10:00,1.8 km/h,65%,3°,17.0,30.0,40.0,44.2,7.9,458.0, 66 
60,Dubai,05 December 2024,05:00,5.5 km/h,42%,19°,17.0,19.9,6.0,,,, 66 
61,Jerusalem,05 December 2024,03:00,4.5 km/h,84%,9°,11.1,,156.2,38.9,,, 64 
62,Lima,04 December 2024,20:00,18.5 km/h,78%,21°,15.9,32.1,3.0,25.8,13.7,2.0, 63 
63,Amsterdam,05 December 2024,02:00,20.4 km/h,89%,5°,15.1,27.6,4.2,41.8,0.5,448.6, 62 
64,Brussels,05 December 2024,02:00,16.7 km/h,92%,5°,14.6,16.0,26.5,16.5,,, 61 
65,Zagreb,05 December 2024,02:00,3.7 km/h,81%,2°,13.5,32.4,32.9,29.1,0.9,495.0, 59 
66,Batam,05 December 2024,08:00,5.5 km/h,78%,28°,13.1,13.8,121.5,48.5,2.9,, 58 
67,Sofia,05 December 2024,03:00,16.7 km/h,87%,4°,12.8,26.4,18.5,15.8,8.2,0.6, 58 
68,Bucharest,05 December 2024,03:00,13 km/h,90%,2°,13.0,16.5,24.8,18.1,4.7,, 58 
69,Istanbul,05 December 2024,04:00,9 km/h,84%,7°,12.8,11.8,43.9,21.0,5.9,604.9, 58 
70,Detroit,04 December 2024,20:00,25.9 km/h,75%,2°,13.1,,,18.8,2.6,343.5, 58 
71,Seoul,05 December 2024,10:00,1.8 km/h,86%,0°,13.0,29.0,16.0,70.1,8.4,790.1, 58 
72,Bern,05 December 2024,02:00,1.8 km/h,88%,0°,12.2,17.1,26.0,24.5,,, 57 
73,Kyiv,05 December 2024,03:00,1.6 km/h,69%,-1°,12.4,19.7,,,,, 57 
74,Phnom Penh,05 December 2024,08:00,18.5 km/h,78%,26°,12.0,,,,,, 56 
75,Ljubljana,05 December 2024,02:00,1.8 km/h,91%,3°,12.1,14.0,28.3,14.8,,150.2, 56 
76,Barcelona,05 December 2024,02:00,20.4 km/h,60%,10°,12.0,23.0,19.0,22.5,1.0,400.0, 56 
77,Addis Ababa,05 December 2024,04:00,11.1 km/h,62%,11°,11.0,,,,,, 55 
78,Taipei,05 December 2024,09:00,22.2 km/h,61%,20°,11.0,36.0,69.0,28.2,2.4,332.1, 55 
79,Madrid,05 December 2024,02:00,5.5 km/h,78%,6°,11.5,18.0,2.0,58.0,4.0,, 55 
80,Athens,05 December 2024,03:00,8.1 km/h,81%,13°,10.7,9.0,13.0,30.0,7.0,2.0, 54 
81,San Francisco,04 December 2024,17:00,24.1 km/h,61%,15°,10.8,,52.0,32.5,,, 54 
82,Singapore,05 December 2024,09:00,5.5 km/h,77%,27°,10.0,20.0,7.0,14.5,5.0,500.0, 53 
83,Vienna,05 December 2024,02:00,18.5 km/h,82%,1°,10.0,13.0,41.5,16.0,1.0,250.0, 53 
84,Nice,05 December 2024,02:00,20.4 km/h,66%,7°,9.9,13.3,34.8,6.2,,, 52 
85,Paris,05 December 2024,02:00,11.1 km/h,94%,5°,9.4,19.1,29.5,21.0,,, 51 
86,Prague,05 December 2024,02:00,16.7 km/h,87%,2°,7.0,11.1,28.3,17.2,1.3,331.9, 39 
87,Osaka,05 December 2024,10:00,20.4 km/h,56%,9°,9.0,12.0,,48.9,10.5,458.0, 50 
88,Beijing,05 December 2024,09:00,18 km/h,36%,5°,9.0,24.0,42.0,20.0,2.0,300.0, 50 
89,Kobe,05 December 2024,10:00,13 km/h,57%,9°,9.0,9.5,,24.4,2.6,572.5, 50 
90,Minneapolis,04 December 2024,19:00,35.2 km/h,61%,-12°,3.9,54.0,,,,, 50 
91,Jakarta,05 December 2024,08:00,14.8 km/h,77%,27°,9.0,,10.0,,,, 50 
92,New York City,04 December 2024,20:00,24.2 km/h,55%,5°,8.9,,36.0,,,, 49 
93,Munich,05 December 2024,02:00,6.4 km/h,91%,-1°,8.7,15.5,31.5,29.0,,, 48 
94,Kuala Lumpur,05 December 2024,09:00,0 km/h,94%,24°,8.5,,,,,, 47 
95,Denver,04 December 2024,18:00,3.3 km/h,39%,7°,6.1,22.0,49.0,94.0,3.9,229.0, 47 
96,Algiers,05 December 2024,02:00,16.7 km/h,58%,14°,8.0,,,,,, 44 
97,Kyoto,05 December 2024,10:00,8 km/h,64%,8°,8.0,13.0,,41.4,5.2,687.0, 44 
98,Washington D.C.,04 December 2024,20:00,33.3 km/h,47%,5°,7.8,14.0,52.0,15.2,,286.3, 43 
99,Kuching,05 December 2024,09:00,0 km/h,83%,27°,7.6,,,,,, 42 
100,Krasnoyarsk,05 December 2024,08:00,15.1 km/h,84%,-4°,7.0,,,46.0,7.0,200.0, 39 
