,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
8,Hanoi,07 December 2024,02:00,9.7 km/h,75%,18°,97.0,99.0,,40.4,,951.7, 180 
9,Kampala,06 December 2024,21:00,3.6 km/h,80%,18°,95.6,1.5,33.4,3.8,0.6,, 179 
10,Kathmandu,07 December 2024,00:45,3.7 km/h,93%,11°,81.3,86.6,34.0,,,, 169 
11,Kolkata,07 December 2024,00:30,0 km/h,82%,17°,79.2,170.4,8.6,29.3,7.1,"1,490.0", 168 
12,Jakarta,07 December 2024,02:00,5.5 km/h,86%,26°,75.0,,10.0,,,, 165 
13,Ulaanbaatar,07 December 2024,03:00,7.2 km/h,76%,-26°,72.0,143.5,0.1,49.0,85.0,"1,500.0", 163 
14,Sarajevo,06 December 2024,20:00,13 km/h,100%,4°,65.7,109.0,4.5,64.0,33.0,"1,785.0", 158 
15,Kabul,06 December 2024,23:30,3.1 km/h,29%,2°,64.8,,,,,, 157 
16,Tashkent,07 December 2024,00:00,3.7 km/h,93%,0°,61.0,,10.0,,,, 155 
17,Mumbai,07 December 2024,00:30,5.5 km/h,65%,27°,58.3,126.8,15.5,26.5,8.9,860.0, 153 
18,Skopje,06 December 2024,20:00,6.4 km/h,88%,8°,53.3,58.4,5.4,22.4,4.1,, 145 
19,Kinshasa,06 December 2024,20:00,3.7 km/h,54%,29°,53.0,,,,,, 144 
20,Baghdad,06 December 2024,22:00,11.1 km/h,58%,11°,53.0,,,,,, 144 
21,Almaty,07 December 2024,00:00,7.2 km/h,93%,-3°,51.0,33.6,,80.7,26.4,"1,919.6", 139 
22,Tel Aviv-Yafo,06 December 2024,21:00,18.5 km/h,35%,20°,50.0,113.0,162.8,100.4,25.7,"1,431.3", 137 
23,Athens,06 December 2024,21:00,6.4 km/h,91%,13°,50.4,31.0,3.0,62.5,6.0,, 137 
24,Dubai,06 December 2024,23:00,9.3 km/h,65%,25°,46.5,94.0,24.0,,,, 128 
25,Bishkek,07 December 2024,01:00,6.7 km/h,58%,-4°,43.3,0.0,,80.8,,, 120 
26,Guangzhou,07 December 2024,03:00,11.2 km/h,66%,17°,43.0,56.5,42.5,23.0,6.0,800.0, 119 
27,Shenzhen,07 December 2024,03:00,10.1 km/h,80%,17°,42.0,57.0,45.0,22.0,6.5,700.0, 117 
28,Salt Lake City,06 December 2024,12:00,4.8 km/h,69%,4°,41.5,64.0,7.0,71.2,5.4,801.5, 116 
29,Zagreb,06 December 2024,20:00,5.5 km/h,86%,0°,37.6,65.3,6.8,45.1,6.7,790.0, 106 
30,Doha,06 December 2024,22:00,9.3 km/h,49%,22°,36.5,,32.0,,,, 103 
31,Kuwait City,06 December 2024,22:00,13.4 km/h,57%,18°,35.0,,,,,, 99 
32,Bangkok,07 December 2024,02:00,3.3 km/h,56%,25°,35.0,79.5,,86.5,,, 99 
33,Jerusalem,06 December 2024,21:00,3.2 km/h,52%,14°,34.5,,160.8,49.3,,, 98 
34,Milano,06 December 2024,20:00,18.5 km/h,88%,4°,33.7,96.1,3.0,43.0,5.1,600.0, 97 
35,Dakar,06 December 2024,19:00,11.1 km/h,57%,27°,30.0,12.0,,,,, 90 
36,Accra,06 December 2024,19:00,11.1 km/h,78%,28°,30.0,,,,,, 90 
37,Kaohsiung,07 December 2024,03:00,13.2 km/h,88%,20°,30.0,52.0,30.0,30.1,4.2,395.0, 90 
38,Hong Kong,07 December 2024,03:00,12.9 km/h,80%,18°,30.0,45.4,52.9,36.7,2.4,717.5, 90 
39,Chongqing,07 December 2024,03:00,3.4 km/h,92%,6°,30.0,39.5,14.5,23.0,6.0,600.0, 90 
40,Baku,06 December 2024,23:00,7.4 km/h,93%,10°,28.9,,,,,, 88 
41,Istanbul,06 December 2024,22:00,6.8 km/h,65%,10°,28.5,102.7,7.0,76.4,8.5,"1,567.1", 87 
42,Batam,07 December 2024,02:00,7.4 km/h,83%,28°,27.3,27.3,128.3,47.7,1.8,, 85 
43,Warsaw,06 December 2024,20:00,16.7 km/h,86%,1°,25.7,32.2,15.9,24.2,3.5,288.0, 82 
44,Chiang Mai,07 December 2024,02:00,5.5 km/h,83%,23°,25.9,45.0,,,,, 82 
45,Riyadh,06 December 2024,22:00,13.5 km/h,46%,20°,25.0,,,,,, 81 
46,Copenhagen,06 December 2024,20:00,13 km/h,87%,3°,25.2,14.5,26.7,20.1,1.9,0.4, 81 
47,Oslo,06 December 2024,20:00,4.5 km/h,97%,0°,24.5,21.8,19.2,34.9,0.3,0.4, 80 
48,Manama,06 December 2024,22:00,7.4 km/h,78%,22°,24.0,,,,,, 79 
49,Chengdu,07 December 2024,04:00,7.2 km/h,71%,8°,23.0,39.0,33.0,25.0,3.0,400.0, 77 
50,Kraków,06 December 2024,21:00,5.5 km/h,69%,2°,25.3,33.2,,47.3,2.8,260.0, 81 
51,Bratislava,06 December 2024,20:00,9.3 km/h,84%,3°,21.9,30.8,13.4,36.3,4.0,0.6, 75 
52,Wuhan,07 December 2024,03:00,9.8 km/h,46%,8°,22.0,34.0,62.5,22.0,8.5,500.0, 75 
53,Madrid,06 December 2024,21:00,7.4 km/h,84%,10°,21.0,37.5,2.0,66.0,3.0,, 73 
54,Nice,06 December 2024,20:00,18.5 km/h,80%,11°,21.3,33.0,2.5,53.9,,, 74 
55,Budapest,06 December 2024,20:00,1.6 km/h,95%,1°,20.5,26.0,3.0,28.6,8.4,794.0, 72 
56,Belgrade,06 December 2024,20:00,3.7 km/h,86%,5°,20.6,35.2,10.3,28.5,11.0,580.0, 72 
57,Lyon,06 December 2024,20:00,3.7 km/h,98%,4°,20.0,29.8,4.1,60.0,4.1,0.8, 71 
58,Ljubljana,06 December 2024,21:00,7.4 km/h,89%,-1°,30.0,34.0,3.0,48.0,,500.0, 90 
59,Kuala Lumpur,07 December 2024,04:00,7.4 km/h,83%,26°,17.0,,,,,, 66 
60,Algiers,06 December 2024,20:00,3.7 km/h,88%,13°,19.0,,,,,, 69 
61,Nairobi,06 December 2024,23:00,16.7 km/h,63%,18°,13.5,11.2,,,,49.1, 59 
62,San Francisco,06 December 2024,12:00,9.3 km/h,67%,17°,18.7,,22.0,43.1,,, 69 
63,Addis Ababa,06 December 2024,23:00,7.4 km/h,44%,13°,19.0,,,,,, 69 
64,Lima,06 December 2024,15:00,14.8 km/h,73%,19°,16.1,38.3,6.9,16.5,32.6,1.5, 64 
65,Los Angeles,06 December 2024,12:00,1.6 km/h,34%,24°,14.7,,4.0,90.2,2.6,, 61 
66,Manila,07 December 2024,03:00,3.7 km/h,84%,27°,15.9,,,,,, 64 
67,Phnom Penh,07 December 2024,03:00,5.5 km/h,94%,27°,16.3,,,,,, 64 
68,Ho Chi Minh City,07 December 2024,03:00,3.7 km/h,89%,26°,15.5,,,,,, 63 
69,Medan,07 December 2024,02:00,5.5 km/h,100%,25°,9.6,33.0,153.5,47.7,28.2,, 63 
70,Yangon,07 December 2024,02:30,3.7 km/h,88%,24°,11.0,,,,,, 54 
71,Kyiv,06 December 2024,22:00,1.6 km/h,76%,1°,16.0,23.0,,,,, 64 
72,Paris,06 December 2024,21:00,18.5 km/h,84%,8°,10.5,32.3,24.5,48.7,,, 54 
73,Sofia,06 December 2024,22:00,25.9 km/h,93%,3°,13.4,27.5,11.8,43.2,8.5,0.7, 59 
74,Rome,06 December 2024,21:00,9.3 km/h,82%,10°,3.0,,18.0,58.5,1.2,1.6, 29 
75,Wrocław,06 December 2024,21:00,1.8 km/h,96%,3°,13.6,22.8,14.7,41.9,13.4,690.0, 59 
76,Krasnoyarsk,07 December 2024,03:00,3.8 km/h,96%,-7°,11.1,,,39.0,8.0,300.0, 55 
77,Bogota,06 December 2024,15:00,20.4 km/h,63%,18°,11.4,44.1,33.9,,,, 55 
78,Pristina,06 December 2024,21:00,7.4 km/h,85%,7°,14.4,23.7,19.0,31.6,11.2,600.0, 61 
79,Vienna,06 December 2024,20:00,38.6 km/h,82%,5°,11.0,14.0,63.0,8.0,2.0,300.0, 55 
80,Barcelona,06 December 2024,21:00,13 km/h,71%,14°,14.0,18.0,19.0,40.5,2.0,550.0, 60 
81,Amsterdam,06 December 2024,20:00,14.8 km/h,76%,6°,10.5,26.3,54.8,22.1,0.7,337.6, 54 
82,Stockholm,06 December 2024,21:00,14.8 km/h,94%,1°,10.3,15.1,33.2,9.6,,, 53 
83,Kuching,07 December 2024,03:00,1.8 km/h,97%,25°,10.4,,,,,, 53 
84,Rotterdam,06 December 2024,20:00,11.1 km/h,86%,5°,10.5,27.6,25.6,39.6,,, 53 
85,Singapore,07 December 2024,04:00,7.4 km/h,84%,27°,9.5,21.0,22.0,16.0,4.0,500.0, 52 
86,Bucharest,06 December 2024,21:00,9.3 km/h,96%,2°,10.0,15.9,8.7,34.7,6.4,, 53 
87,Incheon,07 December 2024,04:00,5.5 km/h,100%,-5°,10.0,21.0,46.8,22.2,9.8,509.5, 53 
88,Busan,07 December 2024,05:00,5.5 km/h,55%,1°,9.0,17.5,62.0,11.3,5.2,343.5, 50 
89,Johannesburg,06 December 2024,21:00,5.5 km/h,26%,24°,9.0,6.3,,,,, 50 
90,Houston,06 December 2024,14:00,22.2 km/h,39%,13°,5.0,50.4,50.0,7.5,,171.8, 46 
91,Sao Paulo,06 December 2024,16:00,18.5 km/h,68%,30°,8.0,30.0,90.0,24.0,0.0,400.8, 44 
92,Berlin,06 December 2024,21:00,8.1 km/h,93%,6°,8.0,14.0,9.0,34.0,,0.0, 44 
93,Osaka,07 December 2024,04:00,11.1 km/h,75%,4°,8.0,10.5,,20.7,10.5,458.0, 44 
94,Seoul,07 December 2024,05:00,3.7 km/h,100%,-5°,8.0,20.0,40.9,29.1,6.6,503.8, 44 
95,London,06 December 2024,20:00,37 km/h,84%,9°,6.9,12.5,37.3,28.1,,300.0, 38 
96,Moscow,06 December 2024,23:00,17.4 km/h,61%,-4°,6.9,,,,,, 38 
97,Vancouver,06 December 2024,12:00,3.2 km/h,90%,9°,7.6,,3.2,45.9,2.8,, 42 
98,Seattle,06 December 2024,12:00,13 km/h,80%,8°,8.6,20.8,9.0,42.4,2.4,417.2, 48 
99,Bern,06 December 2024,21:00,9.3 km/h,78%,4°,7.7,8.1,48.5,21.0,,, 42 
100,Kobe,07 December 2024,04:00,16.8 km/h,62%,4°,7.0,9.5,,9.4,2.6,286.3, 39 
101,Brussels,06 December 2024,21:00,11.1 km/h,83%,6°,2.6,21.0,27.0,41.0,,, 20 
102,Munich,06 December 2024,21:00,12.9 km/h,77%,5°,5.5,9.0,65.5,8.0,,, 31 
103,Beijing,07 December 2024,03:00,25.2 km/h,34%,-1°,6.5,13.0,45.0,5.0,3.0,200.0, 36 
104,Santiago,06 December 2024,17:00,22.2 km/h,30%,25°,5.0,34.0,86.0,10.4,4.2,349.2, 35 
105,Birmingham,06 December 2024,19:00,27.8 km/h,94%,8°,6.3,11.9,41.4,19.3,0.9,, 34 
106,Taipei,07 December 2024,03:00,4.8 km/h,52%,20°,6.0,14.0,83.0,5.6,1.8,229.0, 34 
107,Portland,06 December 2024,12:00,25.9 km/h,66%,7°,5.6,8.5,12.0,7.0,1.6,114.5, 31 
108,Kyoto,07 December 2024,04:00,7.1 km/h,82%,3°,6.0,7.0,,13.2,2.6,343.5, 33 
109,Washington D.C.,06 December 2024,15:00,29.6 km/h,45%,2°,5.3,9.0,61.0,6.5,,171.8, 29 
110,Chicago,06 December 2024,14:00,24.1 km/h,48%,-1°,5.4,,,,,, 29 
111,Minneapolis,06 December 2024,14:00,9.3 km/h,56%,0°,5.0,33.0,,,,, 31 
112,Tokyo,07 December 2024,04:00,5.5 km/h,51%,8°,5.0,7.0,,52.6,2.6,458.0, 28 
113,New York City,06 December 2024,15:00,29.6 km/h,39%,1°,4.0,,58.0,16.0,1.1,176.9, 24 
114,Denver,06 December 2024,13:00,9.3 km/h,23%,13°,4.8,28.5,33.0,41.4,5.2,572.5, 27 
115,Lisbon,06 December 2024,20:00,14.8 km/h,78%,15°,6.6,12.8,30.0,52.0,3.5,283.0, 36 
116,Dublin,06 December 2024,20:00,46.3 km/h,84%,14°,1.3,4.3,59.8,12.3,3.0,, 24 
117,Canberra,07 December 2024,07:00,11.3 km/h,93%,20°,1.5,1.7,52.0,,,, 21 
118,Sydney,07 December 2024,07:00,20.4 km/h,88%,22°,4.7,21.0,0.0,0.0,0.0,201.2, 26 
119,Prague,06 December 2024,21:00,24.1 km/h,90%,4°,3.3,4.9,47.9,19.7,4.6,274.9, 20 
120,Helsinki,06 December 2024,22:00,20.9 km/h,88%,0°,4.1,4.7,29.1,9.0,0.2,, 23 
121,Melbourne,07 December 2024,07:00,7.4 km/h,87%,19°,3.7,,,,,, 21 
122,Toronto,06 December 2024,15:00,38.6 km/h,66%,-1°,2.5,2.1,39.0,29.6,0.3,366.4, 16 
123,Montreal,06 December 2024,15:00,31.5 km/h,63%,-7°,2.1,,18.5,1.0,1.0,, 12 
124,Detroit,06 December 2024,15:00,24.1 km/h,52%,0°,3.0,,,15.0,2.6,229.0, 17 
125,Auckland,07 December 2024,09:00,11.1 km/h,62%,19°,2.6,11.4,,5.5,,, 14 
0,Delhi,07 December 2024,01:30,0 km/h,62%,13°,192.0,335.6,9.0,64.3,13.5,"2,900.0", 267 
1,Lahore,07 December 2024,01:00,9.3 km/h,62%,12°,149.5,,,,,, 225 
2,Karachi,07 December 2024,01:00,9.3 km/h,67%,16°,129.5,,,,,, 205 
3,Shanghai,07 December 2024,04:00,7.2 km/h,76%,7°,129.0,146.0,60.0,40.0,6.0,876.5, 204 
4,Cairo,06 December 2024,22:00,3.7 km/h,52%,20°,121.3,,,,,, 197 
5,Hangzhou,07 December 2024,04:00,4.1 km/h,70%,9°,116.5,148.0,30.5,52.0,6.5,950.0, 194 
6,Dhaka,07 December 2024,02:00,0 km/h,77%,15°,108.0,,14.0,,,, 188 
7,Hanoi,07 December 2024,03:00,9.9 km/h,74%,18°,99.0,103.6,,41.6,,"1,005.2", 181 
8,Tehran,06 December 2024,23:30,0 km/h,42%,4°,95.0,,,,,"4,328.1", 179 
9,Kampala,06 December 2024,22:00,3.1 km/h,82%,18°,89.2,4.5,30.8,5.6,0.0,, 175 
10,Jakarta,07 December 2024,04:00,5.5 km/h,91%,26°,87.5,,8.0,,,, 173 
11,Kathmandu,07 December 2024,01:45,3.7 km/h,93%,11°,82.4,77.4,30.0,,,, 170 
12,Kolkata,07 December 2024,01:30,0 km/h,77%,18°,80.9,168.4,6.4,27.5,6.6,"1,460.0", 169 
13,Kabul,07 December 2024,00:30,2.8 km/h,30%,2°,68.8,,,,,, 160 
14,Tashkent,07 December 2024,01:00,0 km/h,93%,-1°,63.6,,10.0,,,, 157 
15,Ulaanbaatar,07 December 2024,04:00,7.2 km/h,76%,-26°,63.0,105.5,0.1,48.5,75.5,800.0, 156 
16,Mumbai,07 December 2024,01:30,11.1 km/h,57%,27°,57.1,122.8,10.8,23.5,8.9,820.0, 152 
17,Athens,06 December 2024,22:00,4.8 km/h,91%,13°,55.7,35.0,4.0,61.5,10.5,, 151 
18,Skopje,06 December 2024,21:00,6 km/h,89%,8°,54.6,57.5,3.4,28.9,3.2,, 148 
19,Baghdad,06 December 2024,23:00,11.1 km/h,66%,8°,50.0,,,,,, 137 
20,Almaty,07 December 2024,01:00,7.2 km/h,93%,-3°,50.3,33.0,,80.4,27.8,"1,894.1", 137 
21,Zagreb,06 December 2024,21:00,3.7 km/h,86%,0°,49.8,67.1,6.8,42.0,6.7,"1,009.0", 136 
22,Bishkek,07 December 2024,02:00,6.9 km/h,56%,-4°,49.9,0.0,,83.0,,, 136 
23,Kinshasa,06 December 2024,21:00,2.9 km/h,87%,23°,49.0,,,,,, 134 
24,Dubai,07 December 2024,00:00,7.4 km/h,69%,24°,44.5,98.1,66.0,,,, 123 
25,Dakar,06 December 2024,20:00,14.8 km/h,69%,25°,44.0,10.2,,,,, 122 
26,Jerusalem,06 December 2024,22:00,1.6 km/h,53%,14°,44.3,,172.4,35.9,,, 122 
27,Tel Aviv-Yafo,06 December 2024,22:00,7.4 km/h,39%,19°,43.1,128.0,152.9,113.2,25.4,"1,202.3", 120 
28,Salt Lake City,06 December 2024,13:00,9.3 km/h,66%,5°,42.4,65.0,12.0,74.6,5.2,572.5, 118 
29,Shenzhen,07 December 2024,04:00,11.4 km/h,81%,17°,41.0,56.0,44.0,20.5,6.5,700.0, 115 
30,Guangzhou,07 December 2024,04:00,10.6 km/h,67%,17°,41.0,54.0,43.0,20.5,5.0,791.5, 115 
31,Doha,06 December 2024,23:00,9.3 km/h,56%,22°,40.0,,34.0,,,, 112 
32,Bangkok,07 December 2024,03:00,5.7 km/h,59%,25°,37.7,82.0,,64.9,,, 106 
33,Milano,06 December 2024,21:00,3.7 km/h,87%,3°,34.8,94.5,3.0,43.0,5.1,600.0, 99 
34,Kuwait City,06 December 2024,23:00,15.1 km/h,56%,18°,33.0,,,,,, 96 
35,Sarajevo,06 December 2024,21:00,9.6 km/h,100%,3°,31.0,49.0,11.0,38.5,25.0,680.0, 92 
36,Hong Kong,07 December 2024,04:00,16.1 km/h,78%,19°,31.0,46.8,57.6,28.0,2.5,664.9, 92 
37,Baku,07 December 2024,00:00,3.7 km/h,100%,9°,29.9,,,,,, 90 
38,Chongqing,07 December 2024,04:00,3.7 km/h,92%,5°,29.0,38.5,14.0,23.5,6.0,600.0, 88 
39,Oslo,06 December 2024,21:00,4.7 km/h,97%,0°,28.7,25.6,13.0,49.5,0.3,0.4, 87 
40,Kaohsiung,07 December 2024,04:00,9.3 km/h,83%,20°,28.5,48.0,24.0,30.1,3.8,383.6, 87 
41,Istanbul,06 December 2024,23:00,7.3 km/h,67%,11°,28.7,102.7,7.0,76.4,8.5,"1,567.1", 87 
42,Lyon,06 December 2024,21:00,3.7 km/h,100%,3°,28.0,35.5,4.1,59.4,4.3,1.2, 86 
43,Ljubljana,06 December 2024,21:00,1.8 km/h,93%,-1°,28.0,34.0,2.7,50.0,,300.2, 86 
44,Batam,07 December 2024,04:00,5.5 km/h,83%,28°,27.5,27.5,128.4,47.7,1.8,, 85 
45,Manama,06 December 2024,23:00,7.4 km/h,79%,22°,27.0,,,,,, 84 
46,Chiang Mai,07 December 2024,04:00,5.5 km/h,83%,23°,25.8,44.3,,,,, 82 
47,Riyadh,07 December 2024,00:00,11.6 km/h,45%,18°,24.0,,,,,, 79 
48,Warsaw,06 December 2024,21:00,20.4 km/h,86%,1°,25.3,32.2,14.7,23.6,4.4,297.0, 81 
49,Accra,06 December 2024,21:00,9.3 km/h,83%,28°,20.0,,,,,, 71 
50,Chengdu,07 December 2024,04:00,10.8 km/h,71%,8°,25.0,37.0,36.0,21.0,4.0,400.0, 81 
51,Nice,06 December 2024,21:00,20.4 km/h,79%,11°,22.1,31.1,4.1,43.6,,, 75 
52,Wuhan,07 December 2024,04:00,9.2 km/h,46%,6°,22.0,32.0,64.5,22.5,9.0,500.0, 75 
53,Madrid,06 December 2024,22:00,5.5 km/h,87%,9°,21.0,37.0,2.0,61.0,4.0,, 73 
54,Budapest,06 December 2024,22:00,1.6 km/h,95%,1°,21.4,26.0,3.5,29.6,8.6,839.0, 74 
55,Bratislava,06 December 2024,22:00,26 km/h,83%,4°,23.0,32.0,19.9,36.3,4.0,0.6, 77 
56,Copenhagen,06 December 2024,21:00,16.7 km/h,88%,3°,20.4,14.5,33.6,14.7,1.9,0.3, 72 
57,Kraków,06 December 2024,21:00,7.4 km/h,68%,2°,20.5,26.8,,45.9,3.6,319.0, 72 
58,Los Angeles,06 December 2024,13:00,14.8 km/h,35%,25°,16.6,,22.0,103.4,2.6,, 65 
59,Phnom Penh,07 December 2024,04:00,7.4 km/h,94%,27°,13.0,,,,,, 58 
60,San Francisco,06 December 2024,13:00,14.8 km/h,61%,18°,17.2,,18.0,37.8,,, 66 
61,Belgrade,06 December 2024,21:00,14.8 km/h,89%,5°,18.4,33.4,17.2,32.0,9.9,535.0, 68 
62,Wrocław,06 December 2024,22:00,1.8 km/h,96%,3°,14.4,21.4,8.1,42.7,12.1,638.0, 61 
63,Kuching,07 December 2024,04:00,0 km/h,95%,25°,17.5,,,,,, 66 
64,Algiers,06 December 2024,21:00,13.2 km/h,66%,16°,17.1,,,,,, 66 
65,Kuala Lumpur,07 December 2024,05:00,0 km/h,83%,26°,17.5,,,,,, 67 
66,Addis Ababa,07 December 2024,00:00,5.5 km/h,44%,13°,13.0,,,,,, 58 
67,Nairobi,07 December 2024,00:00,12.9 km/h,88%,16°,15.0,10.9,,,,53.8, 62 
68,Ho Chi Minh City,07 December 2024,04:00,5.5 km/h,94%,25°,18.0,,,,,, 68 
69,Medan,07 December 2024,03:00,3.7 km/h,100%,25°,9.8,33.0,153.5,47.7,28.2,, 63 
70,Kyiv,06 December 2024,23:00,1.6 km/h,77%,1°,13.8,16.6,,,,, 60 
71,Paris,06 December 2024,21:00,18.5 km/h,85%,8°,14.9,32.4,24.8,39.0,,, 62 
72,Lima,06 December 2024,16:00,14.8 km/h,73%,19°,15.3,44.1,5.7,15.9,32.2,1.5, 63 
73,Pristina,06 December 2024,22:00,8.1 km/h,87%,7°,13.0,26.6,14.3,36.2,11.5,700.0, 58 
74,Rome,06 December 2024,22:00,11.1 km/h,77%,10°,24.5,,2.0,60.5,1.2,1.8, 80 
75,Yangon,07 December 2024,03:30,5.5 km/h,88%,24°,16.9,,,,,, 66 
76,Sofia,06 December 2024,23:00,16.7 km/h,93%,3°,12.2,32.3,12.4,44.2,9.7,0.6, 57 
77,Manila,07 December 2024,04:00,5.5 km/h,92%,25°,11.7,,,,,, 56 
78,Krasnoyarsk,07 December 2024,04:00,3.9 km/h,97%,-7°,10.0,,,38.0,6.0,200.0, 53 
79,Amsterdam,06 December 2024,21:00,16.7 km/h,76%,5°,11.3,26.2,45.9,28.6,0.7,397.8, 55 
80,Bogota,06 December 2024,16:00,18.5 km/h,77%,15°,11.6,47.7,29.5,,,, 56 
81,Bucharest,06 December 2024,23:00,9.3 km/h,93%,2°,11.4,15.7,8.0,35.5,6.9,, 55 
82,Barcelona,06 December 2024,22:00,9.3 km/h,65%,14°,12.4,18.0,16.0,43.0,2.0,600.0, 57 
83,Incheon,07 December 2024,05:00,7.4 km/h,80%,-5°,10.5,22.0,42.8,27.8,9.4,515.3, 54 
84,Rotterdam,06 December 2024,21:00,13 km/h,88%,5°,10.0,25.1,19.3,48.8,,, 53 
85,Sao Paulo,06 December 2024,18:00,22.2 km/h,71%,29°,9.5,27.5,74.5,36.0,1.0,458.0, 52 
86,Vienna,06 December 2024,22:00,35.4 km/h,82%,5°,10.0,13.0,66.0,7.0,1.0,300.0, 53 
87,Brussels,06 December 2024,22:00,11.1 km/h,83%,6°,2.4,22.0,24.0,39.0,,, 20 
88,Singapore,07 December 2024,05:00,7.4 km/h,86%,26°,9.8,21.0,20.0,13.0,4.0,500.0, 52 
89,Stockholm,06 December 2024,22:00,14.8 km/h,95%,1°,9.0,10.7,32.5,6.9,,, 50 
90,Busan,07 December 2024,06:00,5.5 km/h,60%,0°,9.0,17.5,60.0,11.3,5.2,343.5, 50 
91,Seoul,07 December 2024,06:00,7.4 km/h,80%,-5°,9.0,21.0,35.4,35.2,6.8,503.8, 50 
92,Seattle,06 December 2024,13:00,13 km/h,78%,9°,11.1,25.9,9.0,42.4,2.4,417.2, 55 
93,Munich,06 December 2024,22:00,9.6 km/h,80%,4°,6.0,11.0,64.5,7.0,,, 33 
94,Berlin,06 December 2024,22:00,9.6 km/h,96%,6°,9.0,13.0,11.0,34.0,,0.0, 50 
95,Osaka,07 December 2024,05:00,11.1 km/h,75%,4°,7.5,9.0,,20.7,10.5,343.5, 42 
96,Vancouver,06 December 2024,13:00,16.7 km/h,89%,9°,9.2,,2.4,45.9,3.6,, 51 
97,Bern,06 December 2024,22:00,9.3 km/h,82%,2°,11.4,12.2,45.0,21.0,,, 55 
98,Santiago,06 December 2024,18:00,27.8 km/h,31%,25°,4.0,44.0,86.0,12.0,3.7,332.1, 41 
99,Moscow,07 December 2024,00:00,18.1 km/h,63%,-4°,7.7,,,,,, 42 
100,Kobe,07 December 2024,05:00,18.9 km/h,57%,4°,7.0,9.0,,11.3,0.0,343.5, 39 
101,London,06 December 2024,21:00,44.5 km/h,87%,9°,5.4,21.9,31.0,19.1,,300.0, 29 
102,Lisbon,06 December 2024,21:00,14.8 km/h,79%,15°,8.5,14.2,30.5,41.0,4.0,306.0, 47 
103,Beijing,07 December 2024,04:00,28.8 km/h,34%,-1°,6.5,13.0,46.5,4.0,3.0,200.0, 36 
104,Taipei,07 December 2024,05:00,16.7 km/h,74%,19°,3.2,9.0,84.0,4.7,1.7,234.7, 34 
105,Johannesburg,06 December 2024,23:00,1.8 km/h,26%,23°,4.0,6.3,,,,, 22 
106,Kyoto,07 December 2024,05:00,7.6 km/h,84%,3°,6.0,6.0,,13.2,2.6,343.5, 33 
107,Birmingham,06 December 2024,20:00,27.8 km/h,95%,8°,5.8,10.5,44.6,13.4,1.0,, 32 
108,Portland,06 December 2024,13:00,13 km/h,65%,7°,5.4,5.8,15.0,5.6,1.6,114.5, 30 
109,Washington D.C.,06 December 2024,16:00,29.6 km/h,44%,1°,5.2,9.0,61.0,6.4,,229.0, 28 
110,Chicago,06 December 2024,15:00,29.6 km/h,43%,0°,4.0,,,,,, 22 
111,Houston,06 December 2024,15:00,19.3 km/h,39%,14°,4.9,28.8,52.0,7.1,,171.8, 27 
112,Minneapolis,06 December 2024,15:00,11.1 km/h,57%,0°,5.0,25.0,,,,, 28 
113,Auckland,07 December 2024,10:00,14.8 km/h,65%,19°,3.1,15.5,,3.6,,, 17 
114,Denver,06 December 2024,14:00,9.3 km/h,22%,14°,4.7,28.0,39.0,40.4,2.6,458.0, 26 
115,Sydney,07 December 2024,08:00,14.8 km/h,89%,22°,6.5,19.8,0.0,0.0,0.0,192.5, 36 
116,New York City,06 December 2024,16:00,37 km/h,38%,1°,2.0,,60.0,16.0,1.1,176.9, 25 
117,Helsinki,06 December 2024,23:00,19.3 km/h,87%,0°,5.4,5.7,27.9,8.8,0.2,, 29 
118,Tokyo,07 December 2024,06:00,18.5 km/h,54%,8°,4.0,5.0,,33.8,2.6,343.5, 22 
119,Dublin,06 December 2024,21:00,51.8 km/h,79%,13°,2.4,3.0,51.0,9.8,3.3,, 21 
120,Canberra,07 December 2024,08:00,16.7 km/h,93%,21°,1.4,3.2,48.0,,,, 20 
121,Melbourne,07 December 2024,08:00,20.4 km/h,88%,20°,4.2,,,,,, 23 
122,Prague,06 December 2024,22:00,24.1 km/h,88%,4°,3.0,4.2,49.7,18.0,4.4,274.0, 20 
123,Detroit,06 December 2024,16:00,31.5 km/h,51%,0°,4.0,,,15.0,2.6,229.0, 22 
124,Montreal,06 December 2024,16:00,27.8 km/h,63%,-7°,2.5,,18.5,1.0,1.0,, 13 
125,Toronto,06 December 2024,16:00,38.6 km/h,66%,-2°,2.8,3.1,42.0,20.7,0.0,366.4, 17 
0,Delhi,07 December 2024,02:30,0 km/h,66%,12°,179.0,276.3,7.2,78.6,10.7,"1,840.0", 254 
1,Kinshasa,06 December 2024,22:00,1.6 km/h,88%,23°,151.0,,,,,, 226 
2,Lahore,07 December 2024,02:00,9.3 km/h,66%,11°,145.5,,,,,, 221 
3,Cairo,06 December 2024,23:00,1.8 km/h,55%,19°,130.3,,,,,, 206 
4,Shanghai,07 December 2024,05:00,7.2 km/h,76%,7°,125.0,144.0,53.0,44.5,6.0,878.0, 200 
5,Karachi,07 December 2024,02:00,7.4 km/h,67%,16°,124.0,,,,,, 199 
6,Hangzhou,07 December 2024,05:00,4.7 km/h,71%,9°,113.5,144.0,27.0,46.0,7.0,950.0, 192 
